Time,Temp,6011 nw-2-1B,6010 nw-2-11,6009 nw-2-0F,6008 nw-2-0E,6007 nw-2-0D,6006 nw-2-09,6005 nw-2-08,6004 nw-2-07,6003 nw-2-05,6002 nw-2-02,6001 nw-2-01,f-6011 nw-2-1B,f-6010 nw-2-11,f-6009 nw-2-0F,f-6008 nw-2-0E,f-6007 nw-2-0D,f-6006 nw-2-09,f-6005 nw-2-08,f-6004 nw-2-07,f-6003 nw-2-05,f-6002 nw-2-02,f-6001 nw-2-01
59,0.0005,1,0,0,0,0,2,6,0,0,4,2,0,0.81609,0,0.56298,2.86697,6.93087,1.40407,0,0.63401,4.95899,0.17577
60,0.002,4,1,0,0,0,2,0,0,1,6,0,0.10301,0,0,0,0,2.91526,7.66251,0,0,4.25992,1.9042
61,0.002,1,3,0,0,0,2,0,0,2,3,1,4.57085,1.32964,0,0,0,2.00885,0,0,1.05085,5.01828,0
62,0.0031,1,2,0,3,1,2,3,0,0,5,2,1.49165,1.4317,0,0,0,1.99183,0,0,1.79838,4.63469,0.39282
63,0.0007,0,1,0,1,1,2,2,0,1,1,0,0.25648,2.00111,0,2.90691,1.08928,2.08522,3.55273,0,0,5.94009,1.92706
64,0.002,0,4,0,0,1,1,0,0,0,2,1,0,2.04015,0,0.8266,1.36813,2.104,1.93168,0,0.28792,1.8962,0
65,0.0031,0,1,1,0,1,1,4,1,1,1,0,0,3.44867,0,0,0.44636,1.86287,0,0,0,1.37652,0.44133
66,0.0007,0,0,0,0,0,3,0,0,1,3,0,0,0.98441,0.68864,0,0.90194,0.1756,3.9788,0.61628,1.01698,1.07718,0
67,0.0005,1,1,0,0,2,3,2,0,3,6,1,0,0,0,0,0,3.0741,0,0,1.33674,3.75514,0
68,0.0007,0,1,0,3,0,3,1,0,0,2,1,0.84222,1.0058,0,0,1.53924,3.08322,0.86604,0,2.03062,5.67696,0.45765
69,0.0005,0,1,0,3,0,1,0,0,2,3,0,0,0.89589,0,3.51731,0,2.85702,0.54146,0,0,2.06045,0.90365
70,0.0022,0,3,0,3,1,1,1,0,3,4,2,0,1.05873,0,3.234,0,1.84648,0,0,0.2177,3.54159,0
71,0.0018,0,0,0,0,0,3,3,0,0,6,1,0,1.50372,0,1.70253,0.21741,1.44419,0.18003,0,1.22913,4.47479,0.7863
72,0.0033,1,1,0,0,0,3,2,0,2,3,2,0,0,0,0,0,2.28949,3.25794,0,0,5.63788,1.75394
73,0.0018,0,3,0,1,3,2,2,0,1,5,3,0.85969,0.28591,0,0,0,2.36276,2.40413,0,2.10543,4.85645,1.47241
